id,sCreatedDate,sInstanceId,MoveNumber,Cell0,Cell1,Cell2,Cell3,Cell4,Cell5,Cell6,Cell7,Cell8,GameResultCode,Draw,Player1Wins,Player2Wins
1,'2022-02-23 01:19:53.382','1645334109102',1,0,0,0,0,1,0,0,0,0,1,0,1,0
2,'2022-02-23 01:19:53.383','1645334109102',2,0,0,0,2,1,0,0,0,0,1,0,1,0
3,'2022-02-23 01:19:53.383','1645334109102',3,0,0,0,2,1,0,0,0,0,1,0,1,0
4,'2022-02-23 01:19:53.383','1645334109102',4,2,0,0,2,1,0,0,0,0,1,0,1,0
5,'2022-02-23 01:19:53.383','1645334109102',5,2,0,0,2,1,0,1,0,0,1,0,1,0
6,'2022-02-23 01:19:53.383','1645334109102',6,2,0,0,2,1,0,1,2,0,1,0,1,0
7,'2022-02-23 01:19:53.383','1645334109102',7,2,0,1,2,1,0,1,2,0,1,0,1,0
8,'2022-02-23 01:19:53.384','1645334172200',1,0,0,0,0,0,1,0,0,0,3,1,0,0
9,'2022-02-23 01:19:53.384','1645334172200',2,0,0,0,0,0,1,2,0,0,3,1,0,0
10,'2022-02-23 01:19:53.384','1645334172200',3,0,0,0,0,1,1,2,0,0,3,1,0,0
11,'2022-02-23 01:19:53.384','1645334172200',4,0,0,0,2,1,1,2,0,0,3,1,0,0
12,'2022-02-23 01:19:53.384','1645334172200',5,1,0,0,2,1,1,2,0,0,3,1,0,0
13,'2022-02-23 01:19:53.384','1645334172200',6,1,0,0,2,1,1,2,0,0,3,1,0,0
14,'2022-02-23 01:19:53.384','1645334172200',7,1,0,0,2,1,1,2,1,0,3,1,0,0
15,'2022-02-23 01:19:53.384','1645334172200',8,1,2,0,2,1,1,2,1,0,3,1,0,0
16,'2022-02-23 01:19:53.384','1645334172200',9,1,2,1,2,1,1,2,1,0,3,1,0,0
17,'2022-02-23 01:19:53.384','1645334189818',1,0,0,0,1,0,0,0,0,0,1,0,1,0
18,'2022-02-23 01:19:53.384','1645334189818',2,0,0,0,1,0,0,0,2,0,1,0,1,0
19,'2022-02-23 01:19:53.384','1645334189818',3,0,1,0,1,0,0,0,2,0,1,0,1,0
20,'2022-02-23 01:19:53.384','1645334189818',4,0,1,0,1,0,0,0,2,0,1,0,1,0
21,'2022-02-23 01:19:53.384','1645334189818',5,0,1,0,1,0,0,1,2,0,1,0,1,0
22,'2022-02-23 01:19:53.384','1645334189818',6,2,1,0,1,0,0,1,2,0,1,0,1,0
23,'2022-02-23 01:19:53.384','1645334189818',7,2,1,0,1,1,0,1,2,0,1,0,1,0
24,'2022-02-23 01:19:53.384','1645334189818',8,2,1,0,1,1,2,1,2,0,1,0,1,0
25,'2022-02-23 01:19:53.384','1645334189818',9,2,1,1,1,1,2,1,2,0,1,0,1,0
26,'2022-02-23 01:19:53.384','1645334219138',1,0,0,0,0,0,0,0,0,0,3,1,0,0
27,'2022-02-23 01:19:53.384','1645334219138',2,0,0,0,0,0,2,0,0,0,3,1,0,0
28,'2022-02-23 01:19:53.384','1645334219138',3,0,0,0,0,1,2,0,0,0,3,1,0,0
29,'2022-02-23 01:19:53.384','1645334219138',4,2,0,0,0,1,2,0,0,0,3,1,0,0
30,'2022-02-23 01:19:53.384','1645334219138',5,2,0,1,0,1,2,0,0,0,3,1,0,0
31,'2022-02-23 01:19:53.384','1645334219138',6,2,0,1,0,1,2,2,0,0,3,1,0,0
32,'2022-02-23 01:19:53.384','1645334219138',7,2,0,1,1,1,2,2,0,0,3,1,0,0
